#,Company,Symbol,Weight,Price,Chg,% Chg
58,Analog Devices Inc,ADI,0.29%,397.07,12.86,3.35%
59,Dell Technologies Inc,DELL,0.28%,295.19,42.39,16.77%
60,NextEra Energy Inc,NEE,0.27%,88.55,-1.14,-1.27%
61,Amgen Inc,AMGN,0.27%,339.3,1.88,0.56%
62,Seagate Technology Holdings PLC,STX,0.27%,812.73,2.27,0.28%
63,Walt Disney Co/The,DIS,0.26%,103.0,-0.58,-0.56%
64,AT&T Inc,T,0.26%,25.26,-0.08,-0.32%
65,TJX Cos Inc/The,TJX,0.26%,158.27,0.81,0.51%
66,Boeing Co/The,BA,0.25%,219.02,-0.59,-0.27%
67,Crowdstrike Holdings Inc,CRWD,0.25%,663.46,15.23,2.35%
68,Corning Inc,GLW,0.25%,194.05,2.16,1.13%
69,Western Digital Corp,WDC,0.25%,484.28,-2.18,-0.45%
70,Gilead Sciences Inc,GILD,0.25%,134.36,3.86,2.96%
71,Thermo Fisher Scientific Inc,TMO,0.25%,448.28,-1.09,-0.24%
72,Blackrock Inc,BLK,0.25%,1073.0,9.25,0.87%
73,Amphenol Corp,APH,0.24%,132.06,7.2,5.77%
74,AppLovin Corp,APP,0.24%,481.68,-4.21,-0.87%
75,Union Pacific Corp,UNP,0.23%,265.88,0.44,0.17%
76,Charles Schwab Corp/The,SCHW,0.23%,90.15,-0.26,-0.29%
77,Intuitive Surgical Inc,ISRG,0.23%,438.1,-1.7,-0.39%
78,Welltower Inc,WELL,0.23%,216.17,0.16,0.07%
79,Abbott Laboratories,ABT,0.22%,87.41,-0.36,-0.41%
80,Eaton Corp PLC,ETN,0.22%,391.35,9.84,2.58%
81,Pfizer Inc,PFE,0.22%,25.9,-0.05,-0.19%
82,Salesforce Inc,CRM,0.22%,180.07,3.76,2.13%
83,ConocoPhillips,COP,0.22%,120.46,-0.09,-0.07%
84,Uber Technologies Inc,UBER,0.22%,71.82,-1.79,-2.43%
85,Blackstone Inc,BX,0.21%,118.51,-0.06,-0.05%
86,Honeywell International Inc,HON,0.21%,227.92,4.12,1.84%
87,Deere & Co,DE,0.21%,529.15,-2.2,-0.41%
88,Prologis Inc,PLD,0.20%,145.9,1.27,0.88%
89,Chubb Ltd,CB,0.19%,327.89,-2.37,-0.72%
90,Vertiv Holdings,VRT,0.19%,327.46,4.06,1.26%
91,Booking Holdings Inc,BKNG,0.18%,161.06,1.38,0.86%
92,S&P Global Inc,SPGI,0.18%,417.6,1.87,0.45%
93,Altria Group Inc,MO,0.18%,73.9,0.19,0.26%
94,Lockheed Martin Corp,LMT,0.18%,533.24,10.45,2.00%
95,Danaher Corp,DHR,0.18%,172.0,-1.33,-0.77%
96,Bristol-Myers Squibb Co,BMY,0.18%,59.46,-0.09,-0.15%
97,Stryker Corp,SYK,0.18%,316.48,2.98,0.95%
98,Lowe's Cos Inc,LOW,0.18%,215.03,-2.38,-1.09%
99,CVS Health Corp,CVS,0.18%,93.26,-0.06,-0.06%
100,Starbucks Corp,SBUX,0.17%,103.11,-1.02,-0.98%
101,Capital One Financial Corp,COF,0.17%,187.79,1.13,0.61%
102,Progressive Corp/The,PGR,0.17%,199.51,0.54,0.27%
103,Newmont Corp,NEM,0.17%,107.64,-0.69,-0.64%
104,Vertex Pharmaceuticals Inc,VRTX,0.16%,434.52,0.98,0.23%
105,Accenture PLC,ACN,0.16%,179.24,1.37,0.77%
106,Parker-Hannifin Corp,PH,0.16%,866.96,2.23,0.26%
107,Quanta Services Inc,PWR,0.16%,723.44,6.53,0.91%
108,Southern Co/The,SO,0.16%,94.55,0.31,0.33%
109,Equinix Inc,EQIX,0.16%,1079.79,1.37,0.13%
110,Constellation Energy Corp,CEG,0.16%,294.07,8.24,2.88%
111,ServiceNow Inc,NOW,0.16%,102.13,2.44,2.45%
112,CME Group Inc,CME,0.16%,291.23,1.94,0.67%
113,Cadence Design Systems Inc,CDNS,0.15%,373.59,15.13,4.22%
114,Howmet Aerospace Inc,HWM,0.15%,256.55,-3.34,-1.29%
115,Medtronic PLC,MDT,0.15%,78.6,0.45,0.58%
116,Synopsys Inc,SNPS,0.15%,524.74,20.76,4.12%
117,Trane Technologies PLC,TT,0.15%,451.02,3.38,0.76%
118,Adobe Inc,ADBE,0.15%,244.76,0.66,0.27%
119,Fortinet Inc,FTNT,0.14%,133.93,4.47,3.45%
120,Duke Energy Corp,DUK,0.14%,125.67,1.01,0.81%
121,Marriott International Inc/MD,MAR,0.14%,369.15,-1.41,-0.38%
122,Williams Cos Inc/The,WMB,0.14%,78.47,0.95,1.23%
123,Bank of New York Mellon Corp/The,BNY,0.14%,139.15,0.17,0.12%
124,FedEx Corp,FDX,0.14%,394.2,5.29,1.36%
125,General Dynamics Corp,GD,0.14%,342.89,4.18,1.23%
126,McKesson Corp,MCK,0.14%,766.08,-0.42,-0.05%
127,Automatic Data Processing Inc,ADP,0.13%,225.31,5.24,2.38%
128,Comcast Corp,CMCSA,0.13%,25.2,0.13,0.50%
129,Freeport-McMoRan Inc,FCX,0.13%,61.99,-0.32,-0.51%
130,Intuit Inc,INTU,0.13%,319.94,12.87,4.19%
131,Cummins Inc,CMI,0.13%,639.55,0.77,0.12%
132,PNC Financial Services Group Inc/The,PNC,0.13%,219.23,0.86,0.39%
133,Waste Management Inc,WM,0.13%,217.9,0.15,0.07%
134,HCA Healthcare Inc,HCA,0.13%,394.07,1.51,0.38%
135,Intercontinental Exchange Inc,ICE,0.13%,152.97,1.48,0.98%
136,Boston Scientific Corp,BSX,0.13%,57.78,0.63,1.10%
